circuit_type_index,distance,decoder,metric,depth,trial,value
1,3,BPOSD,logical_accuracy,2,0,0.9347656
1,3,BPOSD,logical_accuracy,2,1,0.9382812
1,3,BPOSD,logical_accuracy,2,2,0.9378906
1,3,BPOSD,logical_accuracy,2,3,0.9363281
1,3,BPOSD,logical_accuracy,2,4,0.9386719
1,3,BPOSD,logical_accuracy,2,5,0.9359375
1,3,BPOSD,logical_accuracy,2,6,0.9324219
1,3,BPOSD,logical_accuracy,2,7,0.9328125
1,3,BPOSD,logical_accuracy,2,8,0.9351563
1,3,BPOSD,logical_accuracy,2,9,0.9382812
1,3,BPOSD,logical_accuracy,2,10,0.9367188
1,3,BPOSD,logical_accuracy,2,11,0.9269531
1,3,BPOSD,logical_accuracy,2,12,0.9351563
1,3,BPOSD,logical_accuracy,2,13,0.9386719
1,3,BPOSD,logical_accuracy,2,14,0.940625
1,3,BPOSD,logical_accuracy,2,15,0.9347656
1,3,BPOSD,logical_accuracy,2,16,0.9375
1,3,BPOSD,logical_accuracy,2,17,0.9421875
1,3,BPOSD,logical_accuracy,2,18,0.9410156
1,3,BPOSD,logical_accuracy,2,19,0.934375
1,3,BPOSD,logical_accuracy,4,0,0.925
1,3,BPOSD,logical_accuracy,4,1,0.934375
1,3,BPOSD,logical_accuracy,4,2,0.925
1,3,BPOSD,logical_accuracy,4,3,0.9214844
1,3,BPOSD,logical_accuracy,4,4,0.9136719
1,3,BPOSD,logical_accuracy,4,5,0.9242187
1,3,BPOSD,logical_accuracy,4,6,0.9101562
1,3,BPOSD,logical_accuracy,4,7,0.9226562
1,3,BPOSD,logical_accuracy,4,8,0.9347656
1,3,BPOSD,logical_accuracy,4,9,0.9292969
1,3,BPOSD,logical_accuracy,4,10,0.9214844
1,3,BPOSD,logical_accuracy,4,11,0.9351563
1,3,BPOSD,logical_accuracy,4,12,0.9296875
1,3,BPOSD,logical_accuracy,4,13,0.9214844
1,3,BPOSD,logical_accuracy,4,14,0.9371094
1,3,BPOSD,logical_accuracy,4,15,0.9183594
1,3,BPOSD,logical_accuracy,4,16,0.9226562
1,3,BPOSD,logical_accuracy,4,17,0.9191406
1,3,BPOSD,logical_accuracy,4,18,0.9226562
1,3,BPOSD,logical_accuracy,4,19,0.9203125
1,3,BPOSD,logical_accuracy,6,0,0.9191406
1,3,BPOSD,logical_accuracy,6,1,0.9054688
1,3,BPOSD,logical_accuracy,6,2,0.9125
1,3,BPOSD,logical_accuracy,6,3,0.9101562
1,3,BPOSD,logical_accuracy,6,4,0.9085937
1,3,BPOSD,logical_accuracy,6,5,0.90625
1,3,BPOSD,logical_accuracy,6,6,0.9160156
1,3,BPOSD,logical_accuracy,6,7,0.9042969
1,3,BPOSD,logical_accuracy,6,8,0.9164062
1,3,BPOSD,logical_accuracy,6,9,0.9171875
1,3,BPOSD,logical_accuracy,6,10,0.9167969
1,3,BPOSD,logical_accuracy,6,11,0.9175781
1,3,BPOSD,logical_accuracy,6,12,0.9152344
1,3,BPOSD,logical_accuracy,6,13,0.9039063
1,3,BPOSD,logical_accuracy,6,14,0.9152344
1,3,BPOSD,logical_accuracy,6,15,0.909375
1,3,BPOSD,logical_accuracy,6,16,0.9105469
1,3,BPOSD,logical_accuracy,6,17,0.9085937
1,3,BPOSD,logical_accuracy,6,18,0.909375
1,3,BPOSD,logical_accuracy,6,19,0.9066406
1,3,BPOSD,logical_accuracy,8,0,0.8917969
1,3,BPOSD,logical_accuracy,8,1,0.9023438
1,3,BPOSD,logical_accuracy,8,2,0.9046875
1,3,BPOSD,logical_accuracy,8,3,0.8921875
